epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,2183.13,1.37322,0.65151,1.11388,0.976,0.97224,0.97249,0.63611,0.36327,0.22566,0.36135,0.00843851,0.00843851,0.00843851
80,2207.11,1.31848,0.63169,1.10536,0.96721,0.96813,0.96787,0.65171,0.35954,0.1724,0.3622,0.00840054,0.00840054,0.00840054
81,2230.78,1.24864,0.65667,1.04836,0.97983,0.96794,0.96926,0.64858,0.36002,0.16108,0.35981,0.0083622,0.0083622,0.0083622
82,2291.44,1.29246,0.66979,1.08716,0.97963,0.97211,0.97004,0.67631,0.36113,0.17097,0.36114,0.00832349,0.00832349,0.00832349
83,2467.17,1.3077,0.62038,1.09478,0.9751,0.97211,0.98181,0.66651,0.36237,0.22783,0.36094,0.00828443,0.00828443,0.00828443
84,2490.95,1.44511,0.68794,1.16551,0.98308,0.9761,0.98384,0.67569,0.36316,0.17096,0.362,0.00824502,0.00824502,0.00824502
85,2513.66,1.2325,0.59796,1.07741,0.98248,0.97211,0.97774,0.66119,0.36298,0.16756,0.36129,0.00820525,0.00820525,0.00820525
86,2592.89,1.24673,0.60876,1.07696,0.97933,0.9761,0.98025,0.67308,0.35725,0.16721,0.36041,0.00816514,0.00816514,0.00816514
87,2614.05,1.29051,0.6161,1.11386,0.97264,0.96813,0.96935,0.66994,0.35942,0.17067,0.36116,0.00812468,0.00812468,0.00812468
88,2658.58,1.28823,0.63883,1.0935,0.97928,0.97211,0.96676,0.66444,0.35522,0.16598,0.3596,0.00808389,0.00808389,0.00808389
89,2684.27,1.27375,0.6126,1.07327,0.97599,0.97156,0.97041,0.6807,0.34388,0.21405,0.35511,0.00804277,0.00804277,0.00804277
90,2710.61,1.25493,0.61221,1.06664,0.97753,0.97211,0.9687,0.67325,0.35278,0.18466,0.3568,0.00800131,0.00800131,0.00800131
91,2735.83,1.4012,0.64977,1.15464,0.98392,0.97487,0.97624,0.67179,0.35031,0.19155,0.35477,0.00795954,0.00795954,0.00795954
92,2761.7,1.26203,0.60556,1.09808,0.98299,0.98008,0.98349,0.67201,0.35234,0.17064,0.35631,0.00791744,0.00791744,0.00791744
93,2786.69,1.26683,0.63497,1.09641,0.98279,0.9761,0.98245,0.66977,0.34704,0.17848,0.35411,0.00787503,0.00787503,0.00787503
94,2812.42,1.32455,0.62534,1.11831,0.97725,0.97211,0.97186,0.67727,0.34454,0.15377,0.35287,0.00783231,0.00783231,0.00783231
95,2837.83,1.20519,0.59507,1.05256,0.98361,0.9761,0.98004,0.67029,0.35298,0.1619,0.35555,0.00778929,0.00778929,0.00778929
96,2860.58,1.23976,0.60457,1.07245,0.97942,0.9761,0.98044,0.67489,0.34764,0.17122,0.35349,0.00774596,0.00774596,0.00774596
97,2883.15,1.25288,0.62303,1.09749,0.98388,0.9761,0.9823,0.68647,0.345,0.21434,0.3528,0.00770234,0.00770234,0.00770234
98,2905.79,1.33152,0.65119,1.15147,0.98382,0.9761,0.98367,0.69404,0.34008,0.15863,0.35223,0.00765843,0.00765843,0.00765843
99,2928.61,1.1855,0.54546,1.0412,0.9837,0.9761,0.98352,0.69699,0.33627,0.14512,0.35027,0.00761423,0.00761423,0.00761423
100,2951.25,1.27001,0.6385,1.12337,0.98745,0.98008,0.985,0.69177,0.33111,0.14142,0.34985,0.00756976,0.00756976,0.00756976
101,2974.08,1.28044,0.60402,1.09944,0.98266,0.9761,0.98612,0.69275,0.33252,0.15278,0.3498,0.007525,0.007525,0.007525
102,2996.62,1.28398,0.61945,1.12063,0.98393,0.97588,0.98376,0.69263,0.33616,0.15395,0.35147,0.00747997,0.00747997,0.00747997
103,3021.54,1.23232,0.59265,1.11703,0.98281,0.9761,0.98244,0.68628,0.33523,0.17013,0.34933,0.00743468,0.00743468,0.00743468
104,3049.57,1.24409,0.58213,1.12217,0.98306,0.9761,0.98141,0.68979,0.33267,0.17594,0.34901,0.00738913,0.00738913,0.00738913
105,3077.64,1.28272,0.59167,1.08005,0.98253,0.9761,0.97896,0.6872,0.33268,0.14812,0.34955,0.00734332,0.00734332,0.00734332
106,3104.65,1.22126,0.57897,1.13362,0.98217,0.9761,0.98081,0.69145,0.32229,0.16092,0.34627,0.00729725,0.00729725,0.00729725
107,3136.01,1.28385,0.60552,1.12705,0.98329,0.9761,0.98229,0.70037,0.33098,0.16851,0.34925,0.00725094,0.00725094,0.00725094
108,3166.64,1.27889,0.67302,1.08987,0.98204,0.9761,0.98254,0.70038,0.32305,0.17649,0.34751,0.00720439,0.00720439,0.00720439
109,3196.83,1.20344,0.59783,1.08431,0.98016,0.9761,0.9794,0.69773,0.32455,0.19197,0.34765,0.00715761,0.00715761,0.00715761
110,3226.95,1.22911,0.61161,1.08533,0.97999,0.97584,0.98282,0.69806,0.32935,0.1707,0.34835,0.00711059,0.00711059,0.00711059
111,3258.36,1.20432,0.60474,1.0791,0.98035,0.97211,0.97976,0.6932,0.32489,0.17639,0.34601,0.00706335,0.00706335,0.00706335
112,3286.9,1.27645,0.59543,1.1027,0.97989,0.98008,0.979,0.69211,0.32315,0.1902,0.34562,0.00701588,0.00701588,0.00701588
