epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,4172.96,1.05816,0.4717,1.17999,0.97948,0.98493,0.99374,0.76724,0.85691,0.34552,1.10401,0.00791744,0.00791744,0.00791744
93,4218.72,1.04271,0.48438,1.1754,0.98258,0.98371,0.99399,0.76931,0.85654,0.34425,1.10313,0.00787503,0.00787503,0.00787503
94,4265.27,1.05346,0.47235,1.17199,0.99281,0.97286,0.99415,0.76762,0.85235,0.34301,1.10138,0.00783231,0.00783231,0.00783231
95,4310.94,1.04878,0.46492,1.18012,0.99334,0.97145,0.99415,0.77094,0.84976,0.34216,1.09944,0.00778929,0.00778929,0.00778929
96,4357.36,1.07666,0.49524,1.17961,0.99008,0.97567,0.99425,0.77352,0.84811,0.34013,1.09876,0.00774596,0.00774596,0.00774596
97,4403.37,1.04265,0.47532,1.1744,0.98985,0.97611,0.99435,0.77451,0.84525,0.3393,1.09752,0.00770234,0.00770234,0.00770234
98,4449.41,1.06421,0.48657,1.19449,0.98538,0.98046,0.99439,0.77451,0.84551,0.3382,1.09793,0.00765843,0.00765843,0.00765843
99,4495.36,1.02991,0.46233,1.17319,0.98367,0.98127,0.99442,0.7756,0.83997,0.33793,1.0949,0.00761423,0.00761423,0.00761423
100,4541.73,1.01537,0.46637,1.16784,0.98478,0.98336,0.99436,0.77637,0.83788,0.33671,1.09355,0.00756976,0.00756976,0.00756976
101,4586.71,1.00789,0.46676,1.16508,0.98477,0.98293,0.99431,0.77691,0.83364,0.33678,1.09179,0.007525,0.007525,0.007525
102,4631.04,1.06076,0.48196,1.18881,0.98586,0.98411,0.99436,0.77969,0.82826,0.3359,1.08843,0.00747997,0.00747997,0.00747997
103,4675.26,1.02697,0.46154,1.16322,0.98446,0.98154,0.99399,0.78083,0.82592,0.33563,1.08761,0.00743468,0.00743468,0.00743468
104,4720.95,1.00544,0.4603,1.14675,0.9847,0.98263,0.99405,0.78149,0.82237,0.33451,1.08559,0.00738913,0.00738913,0.00738913
105,4767.02,1.03122,0.47231,1.17507,0.98328,0.98263,0.99407,0.78208,0.82127,0.33426,1.08464,0.00734332,0.00734332,0.00734332
106,4813.23,1.01056,0.45609,1.14044,0.98244,0.9848,0.9941,0.78344,0.81797,0.33324,1.08273,0.00729725,0.00729725,0.00729725
107,4858.91,1.04055,0.46282,1.1861,0.98478,0.98378,0.99416,0.78344,0.816,0.33196,1.08154,0.00725094,0.00725094,0.00725094
108,4904.75,1.01103,0.4618,1.14108,0.98424,0.9848,0.99417,0.78301,0.81338,0.33113,1.08029,0.00720439,0.00720439,0.00720439
109,4950.57,1.01179,0.45958,1.15325,0.9836,0.98588,0.99412,0.78244,0.81161,0.331,1.0789,0.00715761,0.00715761,0.00715761
110,4995.83,0.9995,0.46085,1.15194,0.98419,0.98588,0.99417,0.78335,0.80987,0.3309,1.07769,0.00711059,0.00711059,0.00711059
111,5041.63,0.97225,0.44523,1.12141,0.98351,0.98588,0.99416,0.78486,0.80815,0.32996,1.0769,0.00706335,0.00706335,0.00706335
112,5087.27,0.97907,0.45147,1.14195,0.98485,0.988,0.99443,0.78653,0.8064,0.3291,1.07638,0.00701588,0.00701588,0.00701588
113,5133.09,0.96872,0.45004,1.15533,0.98287,0.98697,0.99415,0.78629,0.80418,0.32929,1.07558,0.0069682,0.0069682,0.0069682
114,5178.48,0.98823,0.44988,1.15028,0.98303,0.98697,0.99416,0.78577,0.80214,0.32881,1.07475,0.00692031,0.00692031,0.00692031
115,5223.96,0.99603,0.44846,1.14721,0.98234,0.98697,0.99414,0.78608,0.80073,0.32787,1.07374,0.00687222,0.00687222,0.00687222
116,5269.43,0.97677,0.44483,1.14861,0.98263,0.98697,0.99414,0.78864,0.79935,0.32655,1.07287,0.00682392,0.00682392,0.00682392
117,5314.77,0.96491,0.44236,1.11078,0.98306,0.98588,0.99415,0.78834,0.79756,0.32612,1.07186,0.00677543,0.00677543,0.00677543
118,5360.55,0.97525,0.45688,1.13008,0.98376,0.98642,0.99414,0.7889,0.79574,0.32611,1.07089,0.00672675,0.00672675,0.00672675
119,5405.99,0.99064,0.45306,1.15153,0.98376,0.98637,0.99415,0.78802,0.79274,0.32561,1.06903,0.00667789,0.00667789,0.00667789
120,5450.77,0.96484,0.44045,1.13192,0.98238,0.98697,0.99414,0.78989,0.7913,0.32548,1.06798,0.00662885,0.00662885,0.00662885
121,5496.12,0.97878,0.44021,1.13825,0.98268,0.98589,0.99416,0.79076,0.78918,0.32485,1.06677,0.00657963,0.00657963,0.00657963
122,5542.17,0.99126,0.44939,1.13917,0.98269,0.98645,0.99416,0.79278,0.78615,0.32498,1.06543,0.00653025,0.00653025,0.00653025
123,5587.22,0.95972,0.43665,1.12962,0.98265,0.98364,0.99416,0.79335,0.78452,0.3247,1.06445,0.00648071,0.00648071,0.00648071
124,5632.84,0.95101,0.43881,1.12161,0.98163,0.9865,0.99416,0.79379,0.78364,0.32404,1.06385,0.00643101,0.00643101,0.00643101
125,5678.36,0.95627,0.43898,1.15297,0.98152,0.98697,0.99414,0.79404,0.7816,0.32291,1.06275,0.00638115,0.00638115,0.00638115
126,5724.2,0.95384,0.43719,1.11447,0.9816,0.98697,0.99414,0.79621,0.78012,0.32248,1.06182,0.00633115,0.00633115,0.00633115
127,5769.81,0.95334,0.4431,1.10953,0.98061,0.98588,0.99413,0.79635,0.77914,0.32196,1.0611,0.00628101,0.00628101,0.00628101
128,5815,0.97979,0.45404,1.12914,0.98064,0.98588,0.99413,0.79429,0.77678,0.32127,1.05992,0.00623074,0.00623074,0.00623074
129,5860.7,0.96468,0.43171,1.12543,0.98045,0.98588,0.99412,0.79822,0.77546,0.32135,1.05908,0.00618034,0.00618034,0.00618034
130,5906.18,0.95329,0.43693,1.12247,0.98096,0.98588,0.99412,0.7981,0.77408,0.32043,1.0582,0.00612981,0.00612981,0.00612981
131,5952.24,0.93151,0.42476,1.11043,0.9773,0.99023,0.99412,0.79799,0.77256,0.31949,1.05734,0.00607916,0.00607916,0.00607916
132,5997.68,0.93176,0.42839,1.10028,0.97748,0.98989,0.99414,0.79842,0.77102,0.31849,1.05635,0.0060284,0.0060284,0.0060284
133,6043.3,0.949,0.42647,1.11539,0.97645,0.99063,0.99416,0.79936,0.77038,0.31816,1.05592,0.00597754,0.00597754,0.00597754
134,6089.06,0.9308,0.43253,1.12234,0.97646,0.99078,0.99418,0.80064,0.76922,0.31824,1.05506,0.00592657,0.00592657,0.00592657
135,6134.46,0.94538,0.43941,1.12257,0.97603,0.9924,0.99415,0.80034,0.76791,0.3184,1.05437,0.00587551,0.00587551,0.00587551
136,6180.07,0.92096,0.41204,1.11567,0.97625,0.9924,0.99415,0.80099,0.76639,0.31793,1.0535,0.00582435,0.00582435,0.00582435
137,6225.46,0.89605,0.41851,1.10403,0.98161,0.98535,0.99416,0.80039,0.7655,0.31758,1.05315,0.00577311,0.00577311,0.00577311
138,6270.7,0.91841,0.42398,1.10457,0.97747,0.98917,0.99417,0.80135,0.76455,0.31691,1.05263,0.00572179,0.00572179,0.00572179
139,6316.12,0.91954,0.42288,1.12009,0.97753,0.98914,0.99417,0.80182,0.76336,0.31648,1.05191,0.0056704,0.0056704,0.0056704
140,6360.63,0.9295,0.41696,1.10798,0.97646,0.99098,0.99416,0.80171,0.76228,0.31694,1.05129,0.00561894,0.00561894,0.00561894
141,6407.65,0.9204,0.41561,1.09841,0.97646,0.99104,0.99418,0.80223,0.76119,0.31613,1.05081,0.00556742,0.00556742,0.00556742
142,6454,0.95645,0.42446,1.13217,0.97646,0.99105,0.99419,0.80211,0.76016,0.31584,1.0502,0.00551584,0.00551584,0.00551584
143,6501.13,0.92886,0.41875,1.11437,0.97646,0.99098,0.99422,0.80187,0.75961,0.31606,1.04964,0.00546421,0.00546421,0.00546421
144,6547.92,0.91455,0.41543,1.11555,0.97646,0.99096,0.99423,0.80281,0.75882,0.31544,1.04893,0.00541253,0.00541253,0.00541253
145,6595.29,0.91403,0.4197,1.11032,0.97646,0.99089,0.99422,0.80291,0.75834,0.3145,1.04868,0.00536081,0.00536081,0.00536081
146,6642.14,0.90787,0.41929,1.09419,0.97645,0.9903,0.99423,0.80187,0.75776,0.31413,1.04809,0.00530906,0.00530906,0.00530906
147,6689.36,0.89275,0.41464,1.09278,0.97726,0.99023,0.99422,0.80299,0.75691,0.31442,1.04741,0.00525728,0.00525728,0.00525728
148,6735.98,0.90645,0.40666,1.11294,0.97982,0.98914,0.99422,0.80298,0.75614,0.31445,1.04707,0.00520548,0.00520548,0.00520548
149,6782.91,0.88747,0.41238,1.08908,0.97999,0.98914,0.99422,0.8039,0.75515,0.31376,1.04644,0.00515366,0.00515366,0.00515366
